Date,Stocks,Number_of_Stocks
01-04-2017,"APOLLOHOSP.NS, BAYERCROP.NS, CRISIL.NS, FDC.NS, GLENMARK.NS, NAUKRI.NS, ONGC.NS, PERSISTENT.NS, SWANENERGY.NS, TANLA.NS, TECHM.NS",11
01-05-2017,"ABBOTINDIA.NS, AJANTPHARM.NS, AUROPHARMA.NS, CIPLA.NS, DIVISLAB.NS, DRREDDY.NS, ECLERX.NS, INFY.NS, LUPIN.NS, MCDOWELL-N.NS, MPHASIS.NS, PFIZER.NS, SANOFI.NS, SUNPHARMA.NS, TCS.NS, TECHM.NS",16
01-06-2017,"ADANIPOWER.NS, BSOFT.NS, CIPLA.NS, COALINDIA.NS, CYIENT.NS, GUJALKALI.NS, IDFCFIRSTB.NS, INFIBEAM.NS, INGERRAND.NS, IPCALAB.NS, JUBLFOOD.NS, JUSTDIAL.NS, LUPIN.NS, MAHABANK.NS, MMTC.NS, OLECTRA.NS, PFC.NS, PFIZER.NS, POLYMED.NS, RENUKA.NS, SONATSOFTW.NS, SWANENERGY.NS, SYMPHONY.NS, TATAELXSI.NS, TECHM.NS, TORNTPHARM.NS, TORNTPOWER.NS, TRIVENI.NS, TV18BRDCST.NS, WELSPUNLIV.NS",30
01-07-2017,"BHEL.NS, BLUESTARCO.NS, BPCL.NS, FORTIS.NS, GAIL.NS, GLENMARK.NS, GUJALKALI.NS, HFCL.NS, IDFC.NS, IOB.NS, IOC.NS, IRB.NS, JBCHEPHARM.NS, JKPAPER.NS, MAHABANK.NS, NMDC.NS, PATANJALI.NS, PFC.NS, PNB.NS, PRAJIND.NS, RCF.NS, RECLTD.NS, RENUKA.NS, TANLA.NS, TORNTPOWER.NS, TRIDENT.NS, UCOBANK.NS",27
01-08-2017,"BALAMINES.NS, BLUEDART.NS, COFORGE.NS, CRISIL.NS, FACT.NS, FINCABLES.NS, FORTIS.NS, GAEL.NS, GLAXO.NS, GODFRYPHLP.NS, IOC.NS, ITC.NS, JBCHEPHARM.NS, LICHSGFIN.NS, PETRONET.NS, PIIND.NS, RECLTD.NS, SUNPHARMA.NS, SUNTV.NS, TATAMTRDVR.NS, UCOBANK.NS, VIPIND.NS, ZENSARTECH.NS",23
01-09-2017,"ABB.NS, ABBOTINDIA.NS, AIAENG.NS, BOSCHLTD.NS, EXIDEIND.NS, GLENMARK.NS, GODFRYPHLP.NS, LUPIN.NS, M&M.NS, MRF.NS, OFSS.NS, PATANJALI.NS, SKFINDIA.NS, SUNTV.NS",14
01-10-2017,"ADANIENT.NS, BANKBARODA.NS, BANKINDIA.NS, CARBORUNIV.NS, CENTRALBK.NS, DLF.NS, ENGINERSIN.NS, GRANULES.NS, HINDCOPPER.NS, ICICIBANK.NS, IDBI.NS, IDEA.NS, INDIANB.NS, IOB.NS, LINDEINDIA.NS, NETWORK18.NS, NMDC.NS, PGHL.NS, PRSMJOHNSN.NS, RECLTD.NS, SONATSOFTW.NS, SUZLON.NS, TANLA.NS, TTML.NS, UCOBANK.NS, UNIONBANK.NS, UPL.NS, WELSPUNLIV.NS, ZENSARTECH.NS",29
01-11-2017,"CANFINHOME.NS, LICHSGFIN.NS, PIDILITIND.NS, YESBANK.NS",4
01-12-2017,"ACC.NS, AMBUJACEM.NS, BCG.NS, GLENMARK.NS, HINDALCO.NS, INDIGO.NS, KARURVYSYA.NS, L&TFH.NS, LICHSGFIN.NS, SJVN.NS, SUZLON.NS, TRIVENI.NS, USHAMART.NS, VEDL.NS, YESBANK.NS",15
01-01-2018,"BALRAMCHIN.NS, CENTRALBK.NS, MCX.NS",3
01-02-2018,"ACC.NS, AEGISCHEM.NS, APARINDS.NS, ASIANPAINT.NS, AUROPHARMA.NS, BAJAJFINSV.NS, BALRAMCHIN.NS, BATAINDIA.NS, BBTC.NS, BEML.NS, BOSCHLTD.NS, CARBORUNIV.NS, CERA.NS, CGCL.NS, DRREDDY.NS, EICHERMOT.NS, ENDURANCE.NS, FEDERALBNK.NS, HONAUT.NS, INGERRAND.NS, ITI.NS, JBMA.NS, JKLAKSHMI.NS, KPRMILL.NS, LICHSGFIN.NS, MCDOWELL-N.NS, MGL.NS, MHRIL.NS, MOTILALOFS.NS, MUTHOOTFIN.NS, NESTLEIND.NS, NH.NS, NTPC.NS, PAGEIND.NS, PATANJALI.NS, PIIND.NS, POLYMED.NS, POLYPLEX.NS, POWERGRID.NS, SHREECEM.NS, SRF.NS, TATACOMM.NS, TATAMOTORS.NS, TATAMTRDVR.NS, TVSMOTOR.NS",45
01-03-2018,"ADANIPOWER.NS, BAJAJ-AUTO.NS, BANKBARODA.NS, BCG.NS, BEML.NS, BLUEDART.NS, BOSCHLTD.NS, BPCL.NS, CANBK.NS, CARBORUNIV.NS, CENTRALBK.NS, CGCL.NS, COLPAL.NS, CUMMINSIND.NS, DABUR.NS, DEEPAKFERT.NS, EIDPARRY.NS, EMAMILTD.NS, GESHIP.NS, GLAXO.NS, GODFRYPHLP.NS, HINDCOPPER.NS, IDFCFIRSTB.NS, INGERRAND.NS, JBMA.NS, JKCEMENT.NS, JYOTHYLAB.NS, KARURVYSYA.NS, KRBL.NS, LICHSGFIN.NS, MFSL.NS, MOTHERSON.NS, MOTILALOFS.NS, NATCOPHARM.NS, NLCINDIA.NS, PFC.NS, PNBHOUSING.NS, PNCINFRA.NS, PRAJIND.NS, SBIN.NS, SHREECEM.NS, SIEMENS.NS, SOLARINDS.NS, SUZLON.NS, TATAMOTORS.NS, TATAMTRDVR.NS, TATAPOWER.NS, TIMKEN.NS, TRIDENT.NS, TTKPRESTIG.NS",50
