Date,Stocks,Number_of_Stocks,First_Day,Last_Day
01-04-2017,"APOLLOHOSP.NS, BAYERCROP.NS, CRISIL.NS, FDC.NS, GLENMARK.NS, NAUKRI.NS, ONGC.NS, PERSISTENT.NS, SWANENERGY.NS, TANLA.NS, TECHM.NS",11,"APOLLOHOSP.NS: N/A, BAYERCROP.NS: N/A, CRISIL.NS: N/A, FDC.NS: N/A, GLENMARK.NS: N/A, NAUKRI.NS: N/A, ONGC.NS: N/A, PERSISTENT.NS: N/A, SWANENERGY.NS: N/A, TANLA.NS: N/A, TECHM.NS: N/A","APOLLOHOSP.NS: N/A, BAYERCROP.NS: N/A, CRISIL.NS: N/A, FDC.NS: N/A, GLENMARK.NS: N/A, NAUKRI.NS: N/A, ONGC.NS: N/A, PERSISTENT.NS: N/A, SWANENERGY.NS: N/A, TANLA.NS: N/A, TECHM.NS: N/A"
01-05-2017,"ABBOTINDIA.NS, AJANTPHARM.NS, AUROPHARMA.NS, CIPLA.NS, DIVISLAB.NS, DRREDDY.NS, ECLERX.NS, INFY.NS, LUPIN.NS, MCDOWELL-N.NS, MPHASIS.NS, PFIZER.NS, SANOFI.NS, SUNPHARMA.NS, TCS.NS, TECHM.NS",16,"ABBOTINDIA.NS: N/A, AJANTPHARM.NS: N/A, AUROPHARMA.NS: N/A, CIPLA.NS: N/A, DIVISLAB.NS: N/A, DRREDDY.NS: N/A, ECLERX.NS: N/A, INFY.NS: N/A, LUPIN.NS: N/A, MCDOWELL-N.NS: N/A, MPHASIS.NS: N/A, PFIZER.NS: N/A, SANOFI.NS: N/A, SUNPHARMA.NS: N/A, TCS.NS: N/A, TECHM.NS: N/A","ABBOTINDIA.NS: N/A, AJANTPHARM.NS: N/A, AUROPHARMA.NS: N/A, CIPLA.NS: N/A, DIVISLAB.NS: N/A, DRREDDY.NS: N/A, ECLERX.NS: N/A, INFY.NS: N/A, LUPIN.NS: N/A, MCDOWELL-N.NS: N/A, MPHASIS.NS: N/A, PFIZER.NS: N/A, SANOFI.NS: N/A, SUNPHARMA.NS: N/A, TCS.NS: N/A, TECHM.NS: N/A"
01-06-2017,"ADANIPOWER.NS, BSOFT.NS, CIPLA.NS, COALINDIA.NS, CYIENT.NS, GUJALKALI.NS, IDFCFIRSTB.NS, INFIBEAM.NS, INGERRAND.NS, IPCALAB.NS, JUBLFOOD.NS, JUSTDIAL.NS, LUPIN.NS, MAHABANK.NS, MMTC.NS, OLECTRA.NS, PFC.NS, PFIZER.NS, POLYMED.NS, RENUKA.NS, SONATSOFTW.NS, SWANENERGY.NS, SYMPHONY.NS, TATAELXSI.NS, TECHM.NS, TORNTPHARM.NS, TORNTPOWER.NS, TRIVENI.NS, TV18BRDCST.NS, WELSPUNLIV.NS",30,"ADANIPOWER.NS: N/A, BSOFT.NS: N/A, CIPLA.NS: N/A, COALINDIA.NS: N/A, CYIENT.NS: N/A, GUJALKALI.NS: N/A, IDFCFIRSTB.NS: N/A, INFIBEAM.NS: N/A, INGERRAND.NS: N/A, IPCALAB.NS: N/A, JUBLFOOD.NS: N/A, JUSTDIAL.NS: N/A, LUPIN.NS: N/A, MAHABANK.NS: N/A, MMTC.NS: N/A, OLECTRA.NS: N/A, PFC.NS: N/A, PFIZER.NS: N/A, POLYMED.NS: N/A, RENUKA.NS: N/A, SONATSOFTW.NS: N/A, SWANENERGY.NS: N/A, SYMPHONY.NS: N/A, TATAELXSI.NS: N/A, TECHM.NS: N/A, TORNTPHARM.NS: N/A, TORNTPOWER.NS: N/A, TRIVENI.NS: N/A, TV18BRDCST.NS: N/A, WELSPUNLIV.NS: N/A","ADANIPOWER.NS: N/A, BSOFT.NS: N/A, CIPLA.NS: N/A, COALINDIA.NS: N/A, CYIENT.NS: N/A, GUJALKALI.NS: N/A, IDFCFIRSTB.NS: N/A, INFIBEAM.NS: N/A, INGERRAND.NS: N/A, IPCALAB.NS: N/A, JUBLFOOD.NS: N/A, JUSTDIAL.NS: N/A, LUPIN.NS: N/A, MAHABANK.NS: N/A, MMTC.NS: N/A, OLECTRA.NS: N/A, PFC.NS: N/A, PFIZER.NS: N/A, POLYMED.NS: N/A, RENUKA.NS: N/A, SONATSOFTW.NS: N/A, SWANENERGY.NS: N/A, SYMPHONY.NS: N/A, TATAELXSI.NS: N/A, TECHM.NS: N/A, TORNTPHARM.NS: N/A, TORNTPOWER.NS: N/A, TRIVENI.NS: N/A, TV18BRDCST.NS: N/A, WELSPUNLIV.NS: N/A"
01-07-2017,"BHEL.NS, BLUESTARCO.NS, BPCL.NS, FORTIS.NS, GAIL.NS, GLENMARK.NS, GUJALKALI.NS, HFCL.NS, IDFC.NS, IOB.NS, IOC.NS, IRB.NS, JBCHEPHARM.NS, JKPAPER.NS, MAHABANK.NS, NMDC.NS, PATANJALI.NS, PFC.NS, PNB.NS, PRAJIND.NS, RCF.NS, RECLTD.NS, RENUKA.NS, TANLA.NS, TORNTPOWER.NS, TRIDENT.NS, UCOBANK.NS",27,"BHEL.NS: N/A, BLUESTARCO.NS: N/A, BPCL.NS: N/A, FORTIS.NS: N/A, GAIL.NS: N/A, GLENMARK.NS: N/A, GUJALKALI.NS: N/A, HFCL.NS: N/A, IDFC.NS: N/A, IOB.NS: N/A, IOC.NS: N/A, IRB.NS: N/A, JBCHEPHARM.NS: N/A, JKPAPER.NS: N/A, MAHABANK.NS: N/A, NMDC.NS: N/A, PATANJALI.NS: N/A, PFC.NS: N/A, PNB.NS: N/A, PRAJIND.NS: N/A, RCF.NS: N/A, RECLTD.NS: N/A, RENUKA.NS: N/A, TANLA.NS: N/A, TORNTPOWER.NS: N/A, TRIDENT.NS: N/A, UCOBANK.NS: N/A","BHEL.NS: N/A, BLUESTARCO.NS: N/A, BPCL.NS: N/A, FORTIS.NS: N/A, GAIL.NS: N/A, GLENMARK.NS: N/A, GUJALKALI.NS: N/A, HFCL.NS: N/A, IDFC.NS: N/A, IOB.NS: N/A, IOC.NS: N/A, IRB.NS: N/A, JBCHEPHARM.NS: N/A, JKPAPER.NS: N/A, MAHABANK.NS: N/A, NMDC.NS: N/A, PATANJALI.NS: N/A, PFC.NS: N/A, PNB.NS: N/A, PRAJIND.NS: N/A, RCF.NS: N/A, RECLTD.NS: N/A, RENUKA.NS: N/A, TANLA.NS: N/A, TORNTPOWER.NS: N/A, TRIDENT.NS: N/A, UCOBANK.NS: N/A"
01-08-2017,"BALAMINES.NS, BLUEDART.NS, COFORGE.NS, CRISIL.NS, FACT.NS, FINCABLES.NS, FORTIS.NS, GAEL.NS, GLAXO.NS, GODFRYPHLP.NS, IOC.NS, ITC.NS, JBCHEPHARM.NS, LICHSGFIN.NS, PETRONET.NS, PIIND.NS, RECLTD.NS, SUNPHARMA.NS, SUNTV.NS, TATAMTRDVR.NS, UCOBANK.NS, VIPIND.NS, ZENSARTECH.NS",23,"BALAMINES.NS: N/A, BLUEDART.NS: N/A, COFORGE.NS: N/A, CRISIL.NS: N/A, FACT.NS: N/A, FINCABLES.NS: N/A, FORTIS.NS: N/A, GAEL.NS: N/A, GLAXO.NS: N/A, GODFRYPHLP.NS: N/A, IOC.NS: N/A, ITC.NS: N/A, JBCHEPHARM.NS: N/A, LICHSGFIN.NS: N/A, PETRONET.NS: N/A, PIIND.NS: N/A, RECLTD.NS: N/A, SUNPHARMA.NS: N/A, SUNTV.NS: N/A, TATAMTRDVR.NS: N/A, UCOBANK.NS: N/A, VIPIND.NS: N/A, ZENSARTECH.NS: N/A","BALAMINES.NS: N/A, BLUEDART.NS: N/A, COFORGE.NS: N/A, CRISIL.NS: N/A, FACT.NS: N/A, FINCABLES.NS: N/A, FORTIS.NS: N/A, GAEL.NS: N/A, GLAXO.NS: N/A, GODFRYPHLP.NS: N/A, IOC.NS: N/A, ITC.NS: N/A, JBCHEPHARM.NS: N/A, LICHSGFIN.NS: N/A, PETRONET.NS: N/A, PIIND.NS: N/A, RECLTD.NS: N/A, SUNPHARMA.NS: N/A, SUNTV.NS: N/A, TATAMTRDVR.NS: N/A, UCOBANK.NS: N/A, VIPIND.NS: N/A, ZENSARTECH.NS: N/A"
01-09-2017,"ABB.NS, ABBOTINDIA.NS, AIAENG.NS, BOSCHLTD.NS, EXIDEIND.NS, GLENMARK.NS, GODFRYPHLP.NS, LUPIN.NS, M&M.NS, MRF.NS, OFSS.NS, PATANJALI.NS, SKFINDIA.NS, SUNTV.NS",14,"ABB.NS: N/A, ABBOTINDIA.NS: N/A, AIAENG.NS: N/A, BOSCHLTD.NS: N/A, EXIDEIND.NS: N/A, GLENMARK.NS: N/A, GODFRYPHLP.NS: N/A, LUPIN.NS: N/A, M&M.NS: N/A, MRF.NS: N/A, OFSS.NS: N/A, PATANJALI.NS: N/A, SKFINDIA.NS: N/A, SUNTV.NS: N/A","ABB.NS: N/A, ABBOTINDIA.NS: N/A, AIAENG.NS: N/A, BOSCHLTD.NS: N/A, EXIDEIND.NS: N/A, GLENMARK.NS: N/A, GODFRYPHLP.NS: N/A, LUPIN.NS: N/A, M&M.NS: N/A, MRF.NS: N/A, OFSS.NS: N/A, PATANJALI.NS: N/A, SKFINDIA.NS: N/A, SUNTV.NS: N/A"
01-10-2017,"ADANIENT.NS, BANKBARODA.NS, BANKINDIA.NS, CARBORUNIV.NS, CENTRALBK.NS, DLF.NS, ENGINERSIN.NS, GRANULES.NS, HINDCOPPER.NS, ICICIBANK.NS, IDBI.NS, IDEA.NS, INDIANB.NS, IOB.NS, LINDEINDIA.NS, NETWORK18.NS, NMDC.NS, PGHL.NS, PRSMJOHNSN.NS, RECLTD.NS, SONATSOFTW.NS, SUZLON.NS, TANLA.NS, TTML.NS, UCOBANK.NS, UNIONBANK.NS, UPL.NS, WELSPUNLIV.NS, ZENSARTECH.NS",29,"ADANIENT.NS: N/A, BANKBARODA.NS: N/A, BANKINDIA.NS: N/A, CARBORUNIV.NS: N/A, CENTRALBK.NS: N/A, DLF.NS: N/A, ENGINERSIN.NS: N/A, GRANULES.NS: N/A, HINDCOPPER.NS: N/A, ICICIBANK.NS: N/A, IDBI.NS: N/A, IDEA.NS: N/A, INDIANB.NS: N/A, IOB.NS: N/A, LINDEINDIA.NS: N/A, NETWORK18.NS: N/A, NMDC.NS: N/A, PGHL.NS: N/A, PRSMJOHNSN.NS: N/A, RECLTD.NS: N/A, SONATSOFTW.NS: N/A, SUZLON.NS: N/A, TANLA.NS: N/A, TTML.NS: N/A, UCOBANK.NS: N/A, UNIONBANK.NS: N/A, UPL.NS: N/A, WELSPUNLIV.NS: N/A, ZENSARTECH.NS: N/A","ADANIENT.NS: N/A, BANKBARODA.NS: N/A, BANKINDIA.NS: N/A, CARBORUNIV.NS: N/A, CENTRALBK.NS: N/A, DLF.NS: N/A, ENGINERSIN.NS: N/A, GRANULES.NS: N/A, HINDCOPPER.NS: N/A, ICICIBANK.NS: N/A, IDBI.NS: N/A, IDEA.NS: N/A, INDIANB.NS: N/A, IOB.NS: N/A, LINDEINDIA.NS: N/A, NETWORK18.NS: N/A, NMDC.NS: N/A, PGHL.NS: N/A, PRSMJOHNSN.NS: N/A, RECLTD.NS: N/A, SONATSOFTW.NS: N/A, SUZLON.NS: N/A, TANLA.NS: N/A, TTML.NS: N/A, UCOBANK.NS: N/A, UNIONBANK.NS: N/A, UPL.NS: N/A, WELSPUNLIV.NS: N/A, ZENSARTECH.NS: N/A"
01-11-2017,"CANFINHOME.NS, LICHSGFIN.NS, PIDILITIND.NS, YESBANK.NS",4,"CANFINHOME.NS: N/A, LICHSGFIN.NS: N/A, PIDILITIND.NS: N/A, YESBANK.NS: N/A","CANFINHOME.NS: N/A, LICHSGFIN.NS: N/A, PIDILITIND.NS: N/A, YESBANK.NS: N/A"
01-12-2017,"ACC.NS, AMBUJACEM.NS, BCG.NS, GLENMARK.NS, HINDALCO.NS, INDIGO.NS, KARURVYSYA.NS, L&TFH.NS, LICHSGFIN.NS, SJVN.NS, SUZLON.NS, TRIVENI.NS, USHAMART.NS, VEDL.NS, YESBANK.NS",15,"ACC.NS: N/A, AMBUJACEM.NS: N/A, BCG.NS: N/A, GLENMARK.NS: N/A, HINDALCO.NS: N/A, INDIGO.NS: N/A, KARURVYSYA.NS: N/A, L&TFH.NS: N/A, LICHSGFIN.NS: N/A, SJVN.NS: N/A, SUZLON.NS: N/A, TRIVENI.NS: N/A, USHAMART.NS: N/A, VEDL.NS: N/A, YESBANK.NS: N/A","ACC.NS: N/A, AMBUJACEM.NS: N/A, BCG.NS: N/A, GLENMARK.NS: N/A, HINDALCO.NS: N/A, INDIGO.NS: N/A, KARURVYSYA.NS: N/A, L&TFH.NS: N/A, LICHSGFIN.NS: N/A, SJVN.NS: N/A, SUZLON.NS: N/A, TRIVENI.NS: N/A, USHAMART.NS: N/A, VEDL.NS: N/A, YESBANK.NS: N/A"
01-01-2018,"BALRAMCHIN.NS, CENTRALBK.NS, MCX.NS",3,"BALRAMCHIN.NS: N/A, CENTRALBK.NS: N/A, MCX.NS: N/A","BALRAMCHIN.NS: N/A, CENTRALBK.NS: N/A, MCX.NS: N/A"
